Step 50: {'loss': 0.7269, 'grad_norm': 20.571086883544922, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.3341815173625946, 'rewards/rejected': -7.527733325958252, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 7.193551540374756, 'logps/rejected': -8.36414909362793, 'logps/chosen': -0.37131282687187195, 'logits/rejected': -0.17842693626880646, 'logits/chosen': 0.04058251529932022, 'nll_loss': 0.4763014614582062, 'log_odds_ratio': -0.2784910798072815, 'log_odds_chosen': 9.185879707336426, 'epoch': 0.007479012022511826}
Step 2450: {'loss': 1.4606, 'grad_norm': 19.117286682128906, 'learning_rate': 1.8363939899833053e-05, 'rewards/chosen': -0.8080471754074097, 'rewards/rejected': -8.341972351074219, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 7.5339250564575195, 'logps/rejected': -9.268858909606934, 'logps/chosen': -0.8978301882743835, 'logits/rejected': 1.290065884590149, 'logits/chosen': 1.7266920804977417, 'nll_loss': 1.1917691230773926, 'log_odds_ratio': -0.29875048995018005, 'log_odds_chosen': 8.878658294677734, 'epoch': 0.3664715891030795}
Step 2500: {'loss': 1.494, 'grad_norm': 18.143991470336914, 'learning_rate': 1.669449081803005e-05, 'rewards/chosen': -0.8367213606834412, 'rewards/rejected': -8.394476890563965, 'rewards/accuracies': 0.5975000262260437, 'rewards/margins': 7.557756423950195, 'logps/rejected': -9.327198028564453, 'logps/chosen': -0.929690420627594, 'logits/rejected': 1.3780238628387451, 'logits/chosen': 1.8224880695343018, 'nll_loss': 1.2161442041397095, 'log_odds_ratio': -0.30868518352508545, 'log_odds_chosen': 8.907913208007812, 'epoch': 0.3739506011255913}
Step 2550: {'loss': 1.5256, 'grad_norm': 17.77842903137207, 'learning_rate': 1.5025041736227046e-05, 'rewards/chosen': -0.8582649230957031, 'rewards/rejected': -9.727875709533691, 'rewards/accuracies': 0.6299999952316284, 'rewards/margins': 8.869610786437988, 'logps/rejected': -10.80875015258789, 'logps/chosen': -0.9536277055740356, 'logits/rejected': 1.442533016204834, 'logits/chosen': 1.9716087579727173, 'nll_loss': 1.2626259326934814, 'log_odds_ratio': -0.2922484576702118, 'log_odds_chosen': 10.319095611572266, 'epoch': 0.38142961314810314}
Step 2600: {'loss': 1.5263, 'grad_norm': 32.20619583129883, 'learning_rate': 1.335559265442404e-05, 'rewards/chosen': -0.8856195211410522, 'rewards/rejected': -9.010313987731934, 'rewards/accuracies': 0.6175000071525574, 'rewards/margins': 8.124693870544434, 'logps/rejected': -10.011460304260254, 'logps/chosen': -0.9840216636657715, 'logits/rejected': 1.5147922039031982, 'logits/chosen': 1.9972871541976929, 'nll_loss': 1.2506206035614014, 'log_odds_ratio': -0.3062726557254791, 'log_odds_chosen': 9.492447853088379, 'epoch': 0.388908625170615}
Step 2650: {'loss': 1.479, 'grad_norm': 17.47814178466797, 'learning_rate': 1.1686143572621036e-05, 'rewards/chosen': -0.8312636613845825, 'rewards/rejected': -8.879217147827148, 'rewards/accuracies': 0.6050000190734863, 'rewards/margins': 8.047953605651855, 'logps/rejected': -9.865796089172363, 'logps/chosen': -0.9236264228820801, 'logits/rejected': 1.5195459127426147, 'logits/chosen': 2.0048489570617676, 'nll_loss': 1.211672067642212, 'log_odds_ratio': -0.2970016598701477, 'log_odds_chosen': 9.442906379699707, 'epoch': 0.3963876371931268}
Step 2700: {'loss': 1.5016, 'grad_norm': 13.428735733032227, 'learning_rate': 1.001669449081803e-05, 'rewards/chosen': -0.8368722796440125, 'rewards/rejected': -8.599701881408691, 'rewards/accuracies': 0.6050000190734863, 'rewards/margins': 7.762828350067139, 'logps/rejected': -9.55522346496582, 'logps/chosen': -0.9298580884933472, 'logits/rejected': 1.6102200746536255, 'logits/chosen': 2.0709004402160645, 'nll_loss': 1.222509741783142, 'log_odds_ratio': -0.3101211190223694, 'log_odds_chosen': 9.135735511779785, 'epoch': 0.40386664921563864}
Step 2750: {'loss': 1.5718, 'grad_norm': 24.131591796875, 'learning_rate': 8.347245409015026e-06, 'rewards/chosen': -0.902354896068573, 'rewards/rejected': -8.944351196289062, 'rewards/accuracies': 0.6050000190734863, 'rewards/margins': 8.041996002197266, 'logps/rejected': -9.938167572021484, 'logps/chosen': -1.00261652469635, 'logits/rejected': 1.5994759798049927, 'logits/chosen': 2.114114999771118, 'nll_loss': 1.2895361185073853, 'log_odds_ratio': -0.3136746287345886, 'log_odds_chosen': 9.41204833984375, 'epoch': 0.4113456612381504}
Step 2800: {'loss': 1.6304, 'grad_norm': 23.900609970092773, 'learning_rate': 6.67779632721202e-06, 'rewards/chosen': -0.9771223664283752, 'rewards/rejected': -9.445342063903809, 'rewards/accuracies': 0.6175000071525574, 'rewards/margins': 8.468218803405762, 'logps/rejected': -10.494824409484863, 'logps/chosen': -1.0856914520263672, 'logits/rejected': 1.6498597860336304, 'logits/chosen': 2.1922190189361572, 'nll_loss': 1.3644874095916748, 'log_odds_ratio': -0.29546165466308594, 'log_odds_chosen': 9.845099449157715, 'epoch': 0.41882467326066225}
Step 2850: {'loss': 1.7224, 'grad_norm': 17.10748291015625, 'learning_rate': 5.008347245409015e-06, 'rewards/chosen': -0.9858644604682922, 'rewards/rejected': -8.017492294311523, 'rewards/accuracies': 0.5874999761581421, 'rewards/margins': 7.031628608703613, 'logps/rejected': -8.908326148986816, 'logps/chosen': -1.095404863357544, 'logits/rejected': 1.738175868988037, 'logits/chosen': 2.1949894428253174, 'nll_loss': 1.4315130710601807, 'log_odds_ratio': -0.32315272092819214, 'log_odds_chosen': 8.19542407989502, 'epoch': 0.4263036852831741}
Step 2900: {'loss': 1.6806, 'grad_norm': 16.737571716308594, 'learning_rate': 3.33889816360601e-06, 'rewards/chosen': -1.0032457113265991, 'rewards/rejected': -8.203807830810547, 'rewards/accuracies': 0.5975000262260437, 'rewards/margins': 7.2005615234375, 'logps/rejected': -9.115342140197754, 'logps/chosen': -1.1147173643112183, 'logits/rejected': 1.8044953346252441, 'logits/chosen': 2.293966770172119, 'nll_loss': 1.3949846029281616, 'log_odds_ratio': -0.3173292875289917, 'log_odds_chosen': 8.422499656677246, 'epoch': 0.4337826973056859}
Step 2950: {'loss': 1.6665, 'grad_norm': 19.1009464263916, 'learning_rate': 1.669449081803005e-06, 'rewards/chosen': -0.9716843366622925, 'rewards/rejected': -8.080528259277344, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 7.108843803405762, 'logps/rejected': -8.978364944458008, 'logps/chosen': -1.0796492099761963, 'logits/rejected': 1.8089860677719116, 'logits/chosen': 2.30008602142334, 'nll_loss': 1.3792396783828735, 'log_odds_ratio': -0.3191803991794586, 'log_odds_chosen': 8.331518173217773, 'epoch': 0.44126170932819775}
Step 3000: {'loss': 1.6742, 'grad_norm': 16.402894973754883, 'learning_rate': 0.0, 'rewards/chosen': -0.9851426482200623, 'rewards/rejected': -7.755456447601318, 'rewards/accuracies': 0.6225000023841858, 'rewards/margins': 6.7703142166137695, 'logps/rejected': -8.61717414855957, 'logps/chosen': -1.0946030616760254, 'logits/rejected': 1.822400689125061, 'logits/chosen': 2.2965874671936035, 'nll_loss': 1.3994745016098022, 'log_odds_ratio': -0.30526530742645264, 'log_odds_chosen': 7.908807277679443, 'epoch': 0.4487407213507096}
Step 3000: {'train_runtime': 3454.9677, 'train_samples_per_second': 6.947, 'train_steps_per_second': 0.868, 'total_flos': 0.0, 'train_loss': 1.1274043502807618, 'epoch': 0.4487407213507096}
Step 3000: {'eval_loss': 1.6881647109985352, 'eval_runtime': 17.2915, 'eval_samples_per_second': 31.287, 'eval_steps_per_second': 3.933, 'eval_rewards/chosen': -0.9951270818710327, 'eval_rewards/rejected': -8.45127010345459, 'eval_rewards/accuracies': 0.6172794103622437, 'eval_rewards/margins': 7.456142425537109, 'eval_logps/rejected': -9.390300750732422, 'eval_logps/chosen': -1.1056969165802002, 'eval_logits/rejected': 1.8314028978347778, 'eval_logits/chosen': 2.3397486209869385, 'eval_nll_loss': 1.4172008037567139, 'eval_log_odds_ratio': -0.3035607635974884, 'eval_log_odds_chosen': 8.69947338104248, 'epoch': 0.4487407213507096}
